aic_LIF	aic_LIFASC	aic_LIFR	aic_LIFRASC	aic_LIFRASCAT	cre	specimen_id
-36451.1352523	-38439.6733389				Rorb-IRES2-Cre-D	478586295
-36496.2644518	-37885.2861615				Rorb-IRES2-Cre-D	478586425
-37946.6825164	-37716.5462391				Sst-IRES-Cre	478716304
-30815.3043104	-32291.356061				Pvalb-IRES-Cre	478793814
-32030.4815295	-33161.3716631	-31796.1272942	-32920.8919063	-32707.3641204	Pvalb-IRES-Cre	478949560
-34550.4985052	-38123.7598389	-32108.5361769	-36962.7424366	-36612.0833112	Pvalb-IRES-Cre	478958894
-38899.4212955	-38333.2607472				Rbp4-Cre_KL100	479150681
-38446.7155928	-38738.6581882	-37794.709245	-38832.9122151	-38900.5619446	Rorb-IRES2-Cre-D	479179020
-34284.5069277	-37310.9788653				Htr3a-Cre_NO152	479218494
-37464.2405385	-37387.1553865				Htr3a-Cre_NO152	479219923
-34699.6750294	-37745.2419429				Htr3a-Cre_NO152	479220013
-38724.6771742	-38121.2759671				Rorb-IRES2-Cre-D	479225052
-38119.3456962	-37760.667371	-37547.2409006	-37597.2121761	-37596.3694159	Rorb-IRES2-Cre-D	479225080
-38172.4862292	-37971.8434592				Rorb-IRES2-Cre-D	479225294
-31111.8569931	-33452.6480477				Pvalb-IRES-Cre	479298854
-39238.9162531	-39123.5136229	-38318.6752449	-39216.9543236	-39157.3224894	Scnn1a-Tg3-Cre	479415457
-39361.9527383	-39906.3142205				Rorb-IRES2-Cre-D	479492633
-38471.940787	-39632.4690074	-37963.4197093	-39633.9456826	-39654.4107759	Rorb-IRES2-Cre-D	479508018
-38649.6537209	-38992.9563947				Rbp4-Cre_KL100	479711015
-41118.3077938	-40442.078054	-39832.9985218	-41268.0159002	-41343.3515996	Rbp4-Cre_KL100	479721491
-39347.9368713	-37915.1348993	-37352.858999	-38104.0036138	-38196.2966583	Rbp4-Cre_KL100	479722622
-38729.1371975	-38766.3954273	-36605.2039818	-38891.3156937	-39826.8801277	Rorb-IRES2-Cre-D	479766169
-40842.8525827	-40459.4093095	-41444.6743014	-40355.2068064	-40470.9847027	Rorb-IRES2-Cre-D	480087928
-38607.739278	-37790.4735265				Rorb-IRES2-Cre-D	480122859
-38034.9377231	-40057.4109747				Rorb-IRES2-Cre-D	480124551
-41878.0057762	-41500.9078344	-41096.6697522	-41764.9439708	-41656.4064996	Rorb-IRES2-Cre-D	480169178
-39847.8158546	-39635.4203219	-39962.7973837	-40065.8112296	-40035.2488213	Rorb-IRES2-Cre-D	480171386
-37246.9720532	-37550.483058	-37441.3066287	-38223.9950047	-37696.7820225	Rorb-IRES2-Cre-D	480268803
-39710.5232596	-39117.046181	-38760.1277266	-39058.3763802	-38972.2607882	Rorb-IRES2-Cre-D	480273887
-37909.569097	-37139.7664201	-37605.1448614	-36986.0756214	-36856.5246135	Rorb-IRES2-Cre-D	480351780
-37655.9852616	-37209.7959892	-36569.3117678	-37893.3117497	-37875.9120558	Rorb-IRES2-Cre-D	480353286
-39007.3922953	-39468.855111	-38615.8175293	-39305.7745271	-39684.4216757	Rorb-IRES2-Cre-D	480643417
-38647.9704271	-38707.8780775	-39059.1488236	-38882.7743359	-38819.982579	Scnn1a-Tg2-Cre	480647923
-40395.2487983	-40353.4871029				Rorb-IRES2-Cre-D	480648382
-40993.9765654	-41371.7125902				Rorb-IRES2-Cre-D	480705931
-38850.1173857	-39643.8736011				Rbp4-Cre_KL100	480718588
-33312.7651933	-33874.1448861				Pvalb-IRES-Cre	480735016
-39454.1778305	-39518.4821515				Rorb-IRES2-Cre-D	480778441
-29527.4192455	-32927.657971				Pvalb-IRES-Cre	480952106
-36028.0279283	-36390.0066948	-35710.7271753	-37608.4553373	-37678.9373805	Htr3a-Cre_NO152	480999763
-36499.1559473	-38448.5651154	-35384.7293825	-38988.8126085	-39485.519971	Htr3a-Cre_NO152	481003593
-35083.1624204	-39422.031143				Htr3a-Cre_NO152	481003643
-31173.9233962	-36573.2527996				Htr3a-Cre_NO152	481004298
-30961.6515461	-31717.1676804				Pvalb-IRES-Cre	481017021
-33218.3721995	-35528.5489926	-31080.7558106	-35920.8807336	-35769.9487728	Pvalb-IRES-Cre	481018305
-34814.004323	-35465.6859047				Pvalb-IRES-Cre	481093525
-34647.7852429	-37019.2511694	-32358.2382772	-36761.0093619	-36319.2433975	Pvalb-IRES-Cre	481127173
-35783.0496196	-38077.1433469				Pvalb-IRES-Cre	481127348
-34819.0999729	-38648.5960603	-32994.8136699	-38690.5358804	-38645.7515254	Htr3a-Cre_NO152	481136214
-37007.5317794	-38268.2712207				Htr3a-Cre_NO152	482435718
-34439.6005585	-36674.7458006				Pvalb-IRES-Cre	482444444
-36182.3938165	-37573.9121975	-36378.5261208	-36525.2016962	-38279.1502996	Htr3a-Cre_NO152	482516216
-28935.585416	-30170.0602216	-29340.4102653	-30911.6657625	-31199.836672	Pvalb-IRES-Cre	482516631
-36396.0828854	-37895.1038184				Htr3a-Cre_NO152	482521571
-34713.476102	-37998.302021				Htr3a-Cre_NO152	482649712
-32095.919026	-36649.7429128	-30218.6154747	-36659.7176847	-36547.998031	Htr3a-Cre_NO152	482654108
-35547.1246787	-36220.0911502				Sst-IRES-Cre	482690728
-39111.5127753	-39014.119693				Nr5a1-Cre	482726727
-40090.2770979	-39434.9897713	-39508.5672043	-39440.5549828	-40005.0899624	Htr3a-Cre_NO152	482764620
-34823.0807872	-37587.6602496	-33497.9961169	-38462.2646337	-38653.2824295	Htr3a-Cre_NO152	482772037
-35069.5253829	-37689.0670946				Htr3a-Cre_NO152	482773968
-39974.5226794	-38683.7313655	-38684.6687261	-39549.2091135	-39861.8767307	Nr5a1-Cre	482809953
-38548.9383605	-38460.6684391				Cux2-CreERT2	483018019
-38284.3288007	-39425.7004695				Nr5a1-Cre	483027960
-37276.7307611	-38560.1512846				Cux2-CreERT2	483057325
-36980.723544	-36056.8396051	-37293.1942692	-36551.9722971	-36406.2255626	Sst-IRES-Cre	483083617
-40320.9396642	-39851.4090279				Rorb-IRES2-Cre-D	483091812
-41690.1545574	-41707.5967418				Cux2-CreERT2	483099796
-37926.2018682	-37490.1886318	-35216.9370613	-38264.6143943	-39261.1097851	Cux2-CreERT2	483101699
-37149.818943	-37376.2794479				Cux2-CreERT2	484509440
-37190.0595231	-39617.9557574	-35218.1046996	-39024.9757973	-39007.6848423	Cux2-CreERT2	484515166
-34704.5423423	-37948.3689119	-33820.6361993	-37728.2871835	-37267.4377581	Pvalb-IRES-Cre	484635029
-38356.9773099	-38581.6465776	-37712.2139754	-38331.4681554	-38315.9182924	Rorb-IRES2-Cre-D	484679812
-38758.2126835	-38475.8066322	-38159.0791332	-38394.672082	-38473.3643376	Scnn1a-Tg2-Cre	484737013
-37380.8852114	-37362.9809707				Scnn1a-Tg2-Cre	484738748
-34925.1007807	-37531.5422828	-32564.3305519	-37526.0728175	-37475.0727335	Pvalb-IRES-Cre	484742372
-32241.749517	-32562.8731177				Pvalb-IRES-Cre	484744672
-38251.4549895	-38912.5105613				Rorb-IRES2-Cre-D	484770879
-38111.2505219	-38567.0736961				Sst-IRES-Cre	485058595
-30808.7902252	-33723.0845089				Sst-IRES-Cre	485061364
-35354.8754295	-36411.7054387				Pvalb-IRES-Cre	485184849
-39250.6134965	-39784.5170881				Sst-IRES-Cre	485287282
-36899.1929246	-38694.928572				Ntsr1-Cre_GN220	485287944
-38421.8924003	-38797.2380019	-36993.7392396	-39169.4489681	-40064.8437709	Ntsr1-Cre_GN220	485339983
-34991.1859924	-36063.6931914				Sst-IRES-Cre	485455285
-35743.4581881	-38274.3353296	-35957.4435225	-39175.4570404	-38964.7817321	Sst-IRES-Cre	485466109
-41598.574368	-41358.8131492	-42388.1909967	-41464.0795397	-41468.8106747	Nr5a1-Cre	485468180
-37406.7936166	-36679.3757408				Nr5a1-Cre	485570335
-40597.5465095	-39999.7646421				Nr5a1-Cre	485570372
-36750.1043227	-35614.9975612	-36383.4720379	-35814.3340742	-36174.1443771	Rbp4-Cre_KL100	485574721
-38194.0499839	-37570.1364858	-34976.0885458	-38166.5331431	-37602.1585503	Rbp4-Cre_KL100	485574832
-39258.0272059	-39764.0254148	-38012.000774	-39576.4597608	-39565.8691684	Rbp4-Cre_KL100	485577686
-38470.1849186	-38338.509667	-35762.0062152	-39433.8316665	-38883.3842305	Rbp4-Cre_KL100	485578197
-41159.2148489	-41431.2707387	-39947.9633374	-41568.7678601	-41537.6301058	Rbp4-Cre_KL100	485579168
-38022.9492842	-38266.3880635	-36816.2393232	-38751.0661806	-38730.7458897	Rbp4-Cre_KL100	485608017
-37575.6061291	-36409.9919531				Rbp4-Cre_KL100	485610263
-37165.7843042	-36829.562909	-34874.6327844	-37182.9332701	-37600.4554362	Rbp4-Cre_KL100	485835016
-37305.9666892	-38220.6098932				Rorb-IRES2-Cre-D	485836906
-40491.1671252	-39754.8025423	-40426.5207175	-40056.0827749	-40743.0958891	Rorb-IRES2-Cre-D	485837504
-36686.9545019	-36307.0086483	-34022.3396549	-37127.1916136	-37009.6934785	Rbp4-Cre_KL100	485838981
-38015.557915	-37084.2757411	-35447.273088	-37806.3775036	-37904.3948602	Rbp4-Cre_KL100	485880739
-39204.0905915	-39072.1169962	-38769.327948	-39773.8051716	-39687.1030629	Rorb-IRES2-Cre-D	485884503
-38762.009029	-38658.9365916				Rorb-IRES2-Cre-D	485889190
-37441.6322067	-37939.3134366	-35332.8930166	-37447.3381415	-37691.5074089	Ntsr1-Cre_GN220	485905411
-40719.1543148	-40279.0428715				Cux2-CreERT2	485912047
-38336.0822852	-38613.9411404				Rorb-IRES2-Cre-D	485931158
-38264.298147	-38935.1913379				Cux2-CreERT2	485932822
-35580.4841901	-38320.1779568	-31487.3404765	-38578.7102286	-38828.6619073	Ntsr1-Cre_GN220	485938494
-40231.6545743	-40687.2149257				Cux2-CreERT2	485955227
-39519.1431584	-39719.5349843	-37725.7400362	-39841.2270041	-40408.9782934	Cux2-CreERT2	485958978
-38821.2796991	-38649.9433851	-38188.3116936	-38501.2313082	-38640.6918168	Cux2-CreERT2	486029942
-37134.3115227	-36230.7510114	-36237.1928405	-36805.2493181	-36863.7162375	Rbp4-Cre_KL100	486052980
-38610.710534	-38502.9645058	-37986.7800825	-38625.4719144	-39321.0385063	Cux2-CreERT2	486108147
-40153.4295667	-41417.8524501				Rbp4-Cre_KL100	486110216
-36482.6177093	-35935.8730554				Rbp4-Cre_KL100	486132712
-39702.6370903	-40629.0041642	-40362.009252	-40211.5621425	-40230.1503584	Cux2-CreERT2	486146717
-40771.8681934	-39738.1237226				Cux2-CreERT2	486175203
-37727.7374528	-36592.804771				Rbp4-Cre_KL100	486176465
-38271.052569	-38421.7902378				Cux2-CreERT2	486196663
